frame,global_id,cam,local_id,cls_id,x1,y1,x2,y2,cx,cy_bottom,score
13,10,B,17,3,255.99,310.34,292.0,334.22,273.99,334.22,0.7357
13,13,A,13,3,628.82,276.89,651.51,296.88,640.17,296.88,0.7593
13,13,B,11,3,531.35,293.59,554.49,311.85,542.92,311.85,0.7286
13,14,A,14,3,674.19,270.34,691.53,284.5,682.86,284.5,0.6665
13,14,B,15,3,555.79,283.76,572.89,298.81,564.34,298.81,0.6927
13,15,A,15,3,471.8,261.58,514.87,288.14,493.34,288.14,0.5622
13,15,B,25,3,503.6,261.58,515.13,271.91,509.36,271.91,0.5527
13,16,A,16,3,600.07,251.44,619.24,268.74,609.66,268.74,0.6436
13,16,B,24,3,454.9,263.27,467.44,276.73,461.17,276.73,0.5265
13,18,A,18,3,651.65,248.0,665.94,259.5,658.79,259.5,0.4956
13,18,B,19,3,466.29,268.93,480.93,282.59,473.61,282.59,0.6659
13,11,A,20,3,673.02,247.02,685.34,258.14,679.18,258.14,0.4596
13,11,B,18,3,540.02,272.51,555.23,284.74,547.63,284.74,0.6491
13,19,A,23,3,631.45,239.76,642.55,247.8,637.0,247.8,0.5616
13,19,B,22,3,519.05,261.66,534.49,272.66,526.77,272.66,0.4925
13,10,A,25,3,293.11,561.13,475.43,711.65,384.27,711.65,0.8909
13,10,B,1,3,492.73,391.92,553.24,449.77,522.99,449.77,0.8662
14,1,A,1,3,889.2,478.66,1027.3,558.39,958.25,558.39,0.8776
14,1,B,6,3,701.65,361.27,763.81,396.75,732.73,396.75,0.8294
14,2,A,2,3,399.35,367.38,474.74,422.97,437.04,422.97,0.883
14,2,B,3,3,73.04,386.08,157.82,442.65,115.43,442.65,0.7911
14,3,A,3,3,110.09,427.58,256.03,514.98,183.06,514.98,0.8666
14,3,B,5,3,336.16,464.73,432.02,559.96,384.09,559.96,0.866
14,4,A,4,3,507.39,316.9,550.44,348.27,528.92,348.27,0.81
14,4,B,8,3,489.15,335.98,526.85,368.51,508.0,368.51,0.8149
14,5,A,5,3,705.47,342.71,753.96,380.72,729.72,380.72,0.8041
14,5,B,10,3,605.53,318.26,637.51,340.88,621.52,340.88,0.7849
14,1,A,6,3,136.26,381.34,243.54,442.39,189.9,442.39,0.8099
14,1,B,2,3,255.77,411.83,336.96,482.6,296.36,482.6,0.8677
14,7,A,7,3,200.69,319.92,261.23,355.93,230.96,355.93,0.8394
14,7,B,23,3,279.59,295.57,308.83,314.78,294.21,314.78,0.4294
14,8,A,8,3,30.96,354.76,137.76,406.21,84.36,406.21,0.8662
14,8,B,7,3,180.69,342.98,232.73,381.27,206.71,381.27,0.7919
14,9,A,9,3,668.48,302.51,696.88,325.62,682.68,325.62,0.7634
14,9,B,9,3,571.38,327.24,604.64,354.25,588.01,354.25,0.7938
14,10,A,10,3,612.29,310.09,643.83,337.17,628.06,337.17,0.79
14,10,B,17,3,256.19,310.82,292.76,334.24,274.47,334.24,0.7294
14,9,A,11,3,462.97,303.09,504.11,331.87,483.54,331.87,0.8157
14,9,B,14,3,417.78,320.44,453.23,351.76,435.5,351.76,0.7829
14,13,A,13,3,630.54,276.05,653.33,296.51,641.93,296.51,0.755
14,13,B,11,3,532.59,291.6,554.84,311.05,543.71,311.05,0.6902
14,14,A,14,3,675.98,269.96,693.08,284.19,684.53,284.19,0.7007
